Stage,Persona,Actions,Touchpoints,Thoughts,Emotion,Pain Points,Opportunities
1. 認知,P1 長者陳姨,"屋邨海報；鄰居提及換物市集","🏘 屋邨海報 · 👥 鄰居口碑","「又係搞活動？我啲舊嘢點算？」",中性,"不知是否適合長者；怕體力負擔","海報強調「義工幫手」「唔使識 App」"
2. 考量,P1 長者陳姨,"請家人代看 App 或打電話問社區中心","📱 /hall · 🌐 / · ☎️ 社區中心","「要唔要帶嘢？我行唔到點算？」",負向,"行動不便；怕麻煩家人","FAQ 突出上門收物；義工電話熱線"
3. 準備,P1 長者陳姨,"整理 1–3 件物品；家人協助上架或報名","📱 /marketplace/upload · /explore · 🤝 家人代操作","「呢件衫放咗好多年，唔知有冇人要」",中性,"不知哪些物品適合；表單欄位多","義工家訪協助整理；簡化上架表單"
4. 線上參與,P1 長者陳姨,"查看報名紀錄；日程確認；家人代預約","📱 /schedule · /registrations · /wallet","「下星期六係咪有換物市集？」",中性,"無法獨立操作 App","大廳倒數；語音輔助（未來）"
5. 線下市集,P1 長者陳姨,"換物攤交換；維修攤留件；數碼義診","🏪 換物攤 · 維修攤 · 數碼義診攤 · 🤝 義工","「原來我啲舊衫都有人鍾意！」",正向,"排隊體力不支；留件進度不明","座椅休息區；留件追蹤（未來）"
6. 持續,P1 長者陳姨,"查看積分；兌換環保袋；關注下次市集","📱 /wallet · /schedule · /hall","「積分可以換環保袋；下個月再帶嘢」",正向,"不知積分怎麼賺","錢包「獲得方式」Tab 圖示化"
7. 倡導,P1 長者陳姨,"告訴鄰居「唔使識 App 都有人教」","👥 鄰居口碑 · 🏪 故事角","「想叫隔離屋婆婆一齊」",正向,"","故事角錄影供落地頁使用"
1. 認知,P2 街坊阿明,"朋友分享參加經驗","👥 朋友口碑 · 🏘 屋邨宣傳","「聽落幾有趣，但我要帶咩去？」",正向,"資訊零散","試水溫參觀故事素材"
2. 考量,P2 街坊阿明,"瀏覽 FAQ；考慮試水溫參觀","🌐 / FAQ · 📱 /explore","「可以先去睇，唔帶嘢都得？」",中性,"不確定帶什麼","試水溫 CTA 置頂"
3. 準備,P2 街坊阿明,"App 報名下次換物市集","📱 /explore · /account/registrations","「報咗名先，到時唔帶嘢都得」",正向,"App 操作不熟","報名 modal 說明試水溫選項"
4. 線上參與,P2 街坊阿明,"查看日程；瀏覽換物物品","📱 /schedule · /marketplace · /hall","「原來有咁多嘢可以換」",正向,"篩選選項多","大廳快捷入口「探索換物」"
5. 線下市集,P2 街坊阿明,"試水溫參觀；獲歡迎積分；旁觀交換","🏪 換物攤 · 試水溫登記處","「唔使帶嘢都有分，幾好」",正向,"","試水溫參觀徽章／歡迎卡"
6. 持續,P2 街坊阿明,"升級為帶物參與；查看日程","📱 /hall · /explore · /marketplace/upload","「下次帶件玩具去換」",正向,"忘記下次市集日期","大廳倒數＋一鍵加入日程"
7. 倡導,P2 街坊阿明,"推薦朋友試水溫參觀","👥 朋友口碑 · 🌐 / #join","「其實唔難，叫佢去睇先」",正向,"","推薦獎勵積分（未來）"
1. 認知,P3 換取方李姐,"社區中心通告得知","🏘 社區中心通告","「終於有個唔使畀錢買嘢嘅地方」",正向,"",""
2. 考量,P3 換取方李姐,"瀏覽線上換物清單","📱 /marketplace · 🌐 /","「有幾件嘢幾啱我，要幾多積分？」",正向,"積分規則理解成本","類別分值表在換物頁可見"
3. 準備,P3 換取方李姐,"上傳物品；報名；預約他人物品","📱 /upload · /marketplace · /explore","「上傳等審核，順便預約嗰個花瓶」",正向,"審核等待不確定","「等候審核」狀態清晰"
4. 線上參與,P3 換取方李姐,"篩選類別；以積分預約；管理錢包","📱 /marketplace · /wallet","「積分夠唔夠預約嗰個鍾？」",正向,"已被預約物品撲空","「已被預約」狀態即時顯示"
5. 線下市集,P3 換取方李姐,"交收預約花瓶；帶物現場登記","🏪 換物攤 · 維修攤","「同網上睇到嘅一樣，交收好順」",正向,"","預約 QR 快速核對"
6. 持續,P3 換取方李姐,"持續上架／預約；兌換社區禮品","📱 /wallet · /marketplace","「已經變成每月習慣」",正向,"","參與里程碑（未來）"
7. 倡導,P3 換取方李姐,"社區群組分享換物經驗","👥 社區群組","「比 Carousell 有人情味」",正向,"","街坊大使計畫"
1. 認知,P5 訪客何太,"搜尋「社區換物」找到落地頁","🌐 落地頁 /","「同 Carousell 有咩分別？」",中性,"與商業平台混淆","落地頁競品對照區塊"
2. 考量,P5 訪客何太,"閱讀核心理念、App 預覽、FAQ","🌐 / · #faq · #app-preview","「積分係咩？可唔可以換錢？」",負向,"積分 vs 港元混淆；資訊焦慮","「積分不可兌現金」醒目提示"